"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"IND","India","CZE","Czech Republic","PANELAI","Sub-Groups with positive profits","ACT_DOR","Dormant","2016","2016",0,,
"ZAF","South Africa","LBN","Lebanon","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",2,,
"CHN","China (People's Republic of)","BRA","Brazil","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",0,,
"LUX","Luxembourg","TWN","Chinese Taipei","PANELAI","Sub-Groups with positive profits","UPR","Unrelated Party Revenues","2016","2016",129208269.702,,
"IND","India","SYC","Seychelles","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",76,,
"LUX","Luxembourg","BRA","Brazil","PANELAI","Sub-Groups with positive profits","UPR","Unrelated Party Revenues","2016","2016",8137262856.001,,
"USA","United States","KOR","Korea","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",6497990655,,
"SGP","Singapore","BRN","Brunei Darussalam","PANELAI","Sub-Groups with positive profits","ENTITIES_COUNT","Number of Entities","2016","2016",7,,
"MEX","Mexico","TUR","Turkey","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",1917499.633,,
"ZAF","South Africa","UKR","Ukraine","PANELAI","Sub-Groups with positive profits","ACT_SER","Provision of Services to Unrelated Parties","2016","2016",1,,
"DNK","Denmark","OAS","Other Asia","PANELAI","Sub-Groups with positive profits","ACT_IP","Holding or Managing Intellectual Property","2016","2016",3,,
"KOR","Korea","FJT","Foreign Jurisdictions Total","PANELAI","Sub-Groups with positive profits","ACT_SER","Provision of Services to Unrelated Parties","2016","2016",309,,
"CHN","China (People's Republic of)","FRA","France","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",2,,
"MEX","Mexico","IND","India","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",4,,
"ITA","Italy","COL","Colombia","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",2829286131.987,,
"ITA","Italy","JPN","Japan","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",104145663.805,,
